mysql> select id, speciesid, genusid, familyid, species, genus, family from taxon where family in ('Flaviviridae','Bunyaviridae','Paramyxoviridae','Arenaviridae','Togaviridae','Herpesviridae','Poxviridae','
    '> Baculoviridae','Filoviridae','Iridoviridae','Asfarviridae','Coronaviridae','Caliciviridae','Picornaviridae','Hepeviridae','Rhabdoviridae') order by familyid,genusid,speciesid,id;
+--------+-----------+---------+----------+-----------------------------------------------------------+---------------------+-----------------+
| id     | speciesid | genusid | familyid | species                                                   | genus               | family          |
+--------+-----------+---------+----------+-----------------------------------------------------------+---------------------+-----------------+
|  10283 |     10283 |      -1 |    10240 | unidentified poxvirus                                     |                     | Poxviridae      | 
|  10291 |     10291 |      -1 |    10240 | unidentified entomopoxvirus                               |                     | Poxviridae      | 
|  39444 |     39444 |      -1 |    10240 | Cotia virus                                               |                     | Poxviridae      | 
|  55551 |     55551 |      -1 |    10240 | Pseudaletia separata entomopoxvirus                       |                     | Poxviridae      | 
|  83191 |     83191 |      -1 |    10240 | Melanoplus sanguinipes entomopoxvirus                     |                     | Poxviridae      | 
| 109981 |    109981 |      -1 |    10240 | Diachasmimorpha longicaudata entomopoxvirus               |                     | Poxviridae      | 
| 124304 |    124304 |      -1 |    10240 | Anacridium aegyptium entomopoxvirus                       |                     | Poxviridae      | 
| 169398 |    169398 |      -1 |    10240 | Oedaleus asiaticus entomopoxvirus                         |                     | Poxviridae      | 
| 257630 |    257630 |      -1 |    10240 | Calliptamus italicus entomopoxvirus                       |                     | Poxviridae      | 
| 257631 |    257631 |      -1 |    10240 | Gomphocerus sibiricus entomopoxvirus                      |                     | Poxviridae      | 
| 304399 |    304399 |      -1 |    10240 | Mule deer poxvirus                                        |                     | Poxviridae      | 
| 305674 |    304399 |      -1 |    10240 | Mule deer poxvirus                                        |                     | Poxviridae      | 
| 305676 |    304399 |      -1 |    10240 | Mule deer poxvirus                                        |                     | Poxviridae      | 
| 368445 |    368445 |      -1 |    10240 | Crocodilepox virus                                        |                     | Poxviridae      | 
| 371647 |    371647 |      -1 |    10240 | Squirrelpox virus                                         |                     | Poxviridae      | 
|  10242 |        -1 |   10242 |    10240 |                                                           | Orthopoxvirus       | Poxviridae      | 
|  10243 |     10243 |   10242 |    10240 | Cowpox virus                                              | Orthopoxvirus       | Poxviridae      | 
| 130667 |     10243 |   10242 |    10240 | Cowpox virus                                              | Orthopoxvirus       | Poxviridae      | 
| 130668 |     10243 |   10242 |    10240 | Cowpox virus                                              | Orthopoxvirus       | Poxviridae      | 
| 160797 |     10243 |   10242 |    10240 | Cowpox virus                                              | Orthopoxvirus       | Poxviridae      | 
|  10244 |     10244 |   10242 |    10240 | Monkeypox virus                                           | Orthopoxvirus       | Poxviridae      | 
| 130669 |     10244 |   10242 |    10240 | Monkeypox virus                                           | Orthopoxvirus       | Poxviridae      | 
| 130670 |     10244 |   10242 |    10240 | Monkeypox virus                                           | Orthopoxvirus       | Poxviridae      | 
| 243803 |     10244 |   10242 |    10240 | Monkeypox virus                                           | Orthopoxvirus       | Poxviridae      | 
| 619591 |     10244 |   10242 |    10240 | Monkeypox virus                                           | Orthopoxvirus       | Poxviridae      | 
|  10245 |     10245 |   10242 |    10240 | Vaccinia virus                                            | Orthopoxvirus       | Poxviridae      | 
|  10249 |     10245 |   10242 |    10240 | Vaccinia virus                                            | Orthopoxvirus       | Poxviridae      | 
|  10253 |     10245 |   10242 |    10240 | Vaccinia virus                                            | Orthopoxvirus       | Poxviridae      | 
|  10254 |     10245 |   10242 |    10240 | Vaccinia virus                                            | Orthopoxvirus       | Poxviridae      | 
|  32605 |     10245 |   10242 |    10240 | Vaccinia virus                                            | Orthopoxvirus       | Poxviridae      | 
|  32606 |     10245 |   10242 |    10240 | Vaccinia virus                                            | Orthopoxvirus       | Poxviridae      | 
|  45417 |     10245 |   10242 |    10240 | Vaccinia virus                                            | Orthopoxvirus       | Poxviridae      | 
|  67082 |     10245 |   10242 |    10240 | Vaccinia virus                                            | Orthopoxvirus       | Poxviridae      | 
| 124313 |     10245 |   10242 |    10240 | Vaccinia virus                                            | Orthopoxvirus       | Poxviridae      | 
| 126794 |     10245 |   10242 |    10240 | Vaccinia virus                                            | Orthopoxvirus       | Poxviridae      | 
| 130665 |     10245 |   10242 |    10240 | Vaccinia virus                                            | Orthopoxvirus       | Poxviridae      | 
| 130666 |     10245 |   10242 |    10240 | Vaccinia virus                                            | Orthopoxvirus       | Poxviridae      | 
| 201444 |     10245 |   10242 |    10240 | Vaccinia virus                                            | Orthopoxvirus       | Poxviridae      | 
| 262397 |     10245 |   10242 |    10240 | Vaccinia virus                                            | Orthopoxvirus       | Poxviridae      | 
| 332193 |     10245 |   10242 |    10240 | Vaccinia virus                                            | Orthopoxvirus       | Poxviridae      | 
| 350831 |     10245 |   10242 |    10240 | Vaccinia virus                                            | Orthopoxvirus       | Poxviridae      | 
| 350832 |     10245 |   10242 |    10240 | Vaccinia virus                                            | Orthopoxvirus       | Poxviridae      | 
| 397342 |     10245 |   10242 |    10240 | Vaccinia virus                                            | Orthopoxvirus       | Poxviridae      | 
| 467144 |     10245 |   10242 |    10240 | Vaccinia virus                                            | Orthopoxvirus       | Poxviridae      | 
| 502057 |     10245 |   10242 |    10240 | Vaccinia virus                                            | Orthopoxvirus       | Poxviridae      | 
|  10255 |     10255 |   10242 |    10240 | Variola virus                                             | Orthopoxvirus       | Poxviridae      | 
|  12870 |     10255 |   10242 |    10240 | Variola virus                                             | Orthopoxvirus       | Poxviridae      | 
|  53258 |     10255 |   10242 |    10240 | Variola virus                                             | Orthopoxvirus       | Poxviridae      | 
|  10256 |     10256 |   10242 |    10240 | Raccoonpox virus                                          | Orthopoxvirus       | Poxviridae      | 
|  12643 |     12643 |   10242 |    10240 | Ectromelia virus                                          | Orthopoxvirus       | Poxviridae      | 
| 202273 |     12643 |   10242 |    10240 | Ectromelia virus                                          | Orthopoxvirus       | Poxviridae      | 
| 265874 |     12643 |   10242 |    10240 | Ectromelia virus                                          | Orthopoxvirus       | Poxviridae      | 
|  28871 |     28871 |   10242 |    10240 | Taterapox virus                                           | Orthopoxvirus       | Poxviridae      | 
|  28873 |     28873 |   10242 |    10240 | Camelpox virus                                            | Orthopoxvirus       | Poxviridae      | 
| 203172 |     28873 |   10242 |    10240 | Camelpox virus                                            | Orthopoxvirus       | Poxviridae      | 
| 203173 |     28873 |   10242 |    10240 | Camelpox virus                                            | Orthopoxvirus       | Poxviridae      | 
| 203174 |     28873 |   10242 |    10240 | Camelpox virus                                            | Orthopoxvirus       | Poxviridae      | 
| 203188 |     28873 |   10242 |    10240 | Camelpox virus                                            | Orthopoxvirus       | Poxviridae      | 
| 203189 |     28873 |   10242 |    10240 | Camelpox virus                                            | Orthopoxvirus       | Poxviridae      | 
| 203190 |     28873 |   10242 |    10240 | Camelpox virus                                            | Orthopoxvirus       | Poxviridae      | 
|  28874 |     28874 |   10242 |    10240 | Volepox virus                                             | Orthopoxvirus       | Poxviridae      | 
| 160796 |    160796 |   10242 |    10240 | Skunkpox virus                                            | Orthopoxvirus       | Poxviridae      | 
| 252468 |    252468 |   10242 |    10240 | Steller sea lion poxvirus                                 | Orthopoxvirus       | Poxviridae      | 
| 318831 |    318831 |   10242 |    10240 | Cetacean poxvirus 2                                       | Orthopoxvirus       | Poxviridae      | 
| 256962 |    319748 |   10242 |    10240 | Cetacean poxvirus 1                                       | Orthopoxvirus       | Poxviridae      | 
| 319748 |    319748 |   10242 |    10240 | Cetacean poxvirus 1                                       | Orthopoxvirus       | Poxviridae      | 
| 447398 |    447398 |   10242 |    10240 | Feline poxvirus - Italy                                   | Orthopoxvirus       | Poxviridae      | 
| 467146 |    467146 |   10242 |    10240 | Cowpox-Vaccinia virus                                     | Orthopoxvirus       | Poxviridae      | 
| 580060 |    580060 |   10242 |    10240 | Feline poxvirus ITA1_PG                                   | Orthopoxvirus       | Poxviridae      | 
| 580061 |    580061 |   10242 |    10240 | Feline poxvirus ITA2_BC                                   | Orthopoxvirus       | Poxviridae      | 
|  10257 |        -1 |   10257 |    10240 |                                                           | Parapoxvirus        | Poxviridae      | 
|  10258 |     10258 |   10257 |    10240 | Orf virus                                                 | Parapoxvirus        | Poxviridae      | 
|  10259 |     10258 |   10257 |    10240 | Orf virus                                                 | Parapoxvirus        | Poxviridae      | 
|  73495 |     10258 |   10257 |    10240 | Orf virus                                                 | Parapoxvirus        | Poxviridae      | 
|  75325 |     10258 |   10257 |    10240 | Orf virus                                                 | Parapoxvirus        | Poxviridae      | 
| 167124 |     10258 |   10257 |    10240 | Orf virus                                                 | Parapoxvirus        | Poxviridae      | 
| 167125 |     10258 |   10257 |    10240 | Orf virus                                                 | Parapoxvirus        | Poxviridae      | 
| 167126 |     10258 |   10257 |    10240 | Orf virus                                                 | Parapoxvirus        | Poxviridae      | 
| 167127 |     10258 |   10257 |    10240 | Orf virus                                                 | Parapoxvirus        | Poxviridae      | 
| 167128 |     10258 |   10257 |    10240 | Orf virus                                                 | Parapoxvirus        | Poxviridae      | 
| 182095 |     10258 |   10257 |    10240 | Orf virus                                                 | Parapoxvirus        | Poxviridae      | 
| 240708 |     10258 |   10257 |    10240 | Orf virus                                                 | Parapoxvirus        | Poxviridae      | 
| 240709 |     10258 |   10257 |    10240 | Orf virus                                                 | Parapoxvirus        | Poxviridae      | 
| 262726 |     10258 |   10257 |    10240 | Orf virus                                                 | Parapoxvirus        | Poxviridae      | 
| 129726 |    129726 |   10257 |    10240 | Pseudocowpox virus                                        | Parapoxvirus        | Poxviridae      | 
| 129727 |    129727 |   10257 |    10240 | Bovine papular stomatitis virus                           | Parapoxvirus        | Poxviridae      | 
| 129728 |    129728 |   10257 |    10240 | of red deer in New Zealand                                | Parapoxvirus        | Poxviridae      | 
| 187984 |    187984 |   10257 |    10240 | Seal parapoxvirus                                         | Parapoxvirus        | Poxviridae      | 
| 299565 |    187984 |   10257 |    10240 | Seal parapoxvirus                                         | Parapoxvirus        | Poxviridae      | 
| 319746 |    187984 |   10257 |    10240 | Seal parapoxvirus                                         | Parapoxvirus        | Poxviridae      | 
| 319747 |    187984 |   10257 |    10240 | Seal parapoxvirus                                         | Parapoxvirus        | Poxviridae      | 
| 347013 |    187984 |   10257 |    10240 | Seal parapoxvirus                                         | Parapoxvirus        | Poxviridae      | 
| 358123 |    187984 |   10257 |    10240 | Seal parapoxvirus                                         | Parapoxvirus        | Poxviridae      | 
| 358124 |    187984 |   10257 |    10240 | Seal parapoxvirus                                         | Parapoxvirus        | Poxviridae      | 
| 358125 |    187984 |   10257 |    10240 | Seal parapoxvirus                                         | Parapoxvirus        | Poxviridae      | 
| 358126 |    187984 |   10257 |    10240 | Seal parapoxvirus                                         | Parapoxvirus        | Poxviridae      | 
| 358127 |    187984 |   10257 |    10240 | Seal parapoxvirus                                         | Parapoxvirus        | Poxviridae      | 
| 240426 |    240426 |   10257 |    10240 | Squirrel parapoxvirus                                     | Parapoxvirus        | Poxviridae      | 
| 262725 |    262725 |   10257 |    10240 | Reindeer parapoxvirus                                     | Parapoxvirus        | Poxviridae      | 
| 334522 |    334522 |   10257 |    10240 | Musk ox parapoxvirus                                      | Parapoxvirus        | Poxviridae      | 
|  10260 |        -1 |   10260 |    10240 |                                                           | Avipoxvirus         | Poxviridae      | 
|  10261 |     10261 |   10260 |    10240 | Fowlpox virus                                             | Avipoxvirus         | Poxviridae      | 
|  10263 |     10261 |   10260 |    10240 | Fowlpox virus                                             | Avipoxvirus         | Poxviridae      | 
|  10264 |     10264 |   10260 |    10240 | Pigeonpox virus                                           | Avipoxvirus         | Poxviridae      | 
|  44088 |     44088 |   10260 |    10240 | Canarypox virus                                           | Avipoxvirus         | Poxviridae      | 
| 227305 |    227305 |   10260 |    10240 | Vultur gryphus poxvirus                                   | Avipoxvirus         | Poxviridae      | 
| 228177 |    228177 |   10260 |    10240 | Hawaiian goose poxvirus                                   | Avipoxvirus         | Poxviridae      | 
| 263954 |    263954 |   10260 |    10240 | isolate DD1258                                            | Avipoxvirus         | Poxviridae      | 
| 263959 |    263959 |   10260 |    10240 | isolate APIII                                             | Avipoxvirus         | Poxviridae      | 
| 336486 |    336486 |   10260 |    10240 | Turkeypox virus                                           | Avipoxvirus         | Poxviridae      | 
| 339546 |    365612 |   10260 |    10240 | Virginian WCV avipoxvirus                                 | Avipoxvirus         | Poxviridae      | 
| 339547 |    365612 |   10260 |    10240 | Virginian WCV avipoxvirus                                 | Avipoxvirus         | Poxviridae      | 
| 339548 |    365612 |   10260 |    10240 | Virginian WCV avipoxvirus                                 | Avipoxvirus         | Poxviridae      | 
| 339549 |    365612 |   10260 |    10240 | Virginian WCV avipoxvirus                                 | Avipoxvirus         | Poxviridae      | 
| 339550 |    365612 |   10260 |    10240 | Virginian WCV avipoxvirus                                 | Avipoxvirus         | Poxviridae      | 
| 339551 |    365612 |   10260 |    10240 | Virginian WCV avipoxvirus                                 | Avipoxvirus         | Poxviridae      | 
| 339552 |    365612 |   10260 |    10240 | Virginian WCV avipoxvirus                                 | Avipoxvirus         | Poxviridae      | 
| 339553 |    365612 |   10260 |    10240 | Virginian WCV avipoxvirus                                 | Avipoxvirus         | Poxviridae      | 
| 339554 |    365612 |   10260 |    10240 | Virginian WCV avipoxvirus                                 | Avipoxvirus         | Poxviridae      | 
| 339555 |    365612 |   10260 |    10240 | Virginian WCV avipoxvirus                                 | Avipoxvirus         | Poxviridae      | 
| 339556 |    365612 |   10260 |    10240 | Virginian WCV avipoxvirus                                 | Avipoxvirus         | Poxviridae      | 
| 339557 |    365612 |   10260 |    10240 | Virginian WCV avipoxvirus                                 | Avipoxvirus         | Poxviridae      | 
| 263951 |    365613 |   10260 |    10240 | GB                                                        | Avipoxvirus         | Poxviridae      | 
| 263952 |    365613 |   10260 |    10240 | GB                                                        | Avipoxvirus         | Poxviridae      | 
| 263953 |    365613 |   10260 |    10240 | GB                                                        | Avipoxvirus         | Poxviridae      | 
| 263956 |    365613 |   10260 |    10240 | GB                                                        | Avipoxvirus         | Poxviridae      | 
| 263957 |    365613 |   10260 |    10240 | GB                                                        | Avipoxvirus         | Poxviridae      | 
| 263958 |    365613 |   10260 |    10240 | GB                                                        | Avipoxvirus         | Poxviridae      | 
| 365620 |    365620 |   10260 |    10240 | CVL                                                       | Avipoxvirus         | Poxviridae      | 
| 365621 |    365621 |   10260 |    10240 | Peekham                                                   | Avipoxvirus         | Poxviridae      | 
| 400570 |    400570 |   10260 |    10240 | Quailpox virus                                            | Avipoxvirus         | Poxviridae      | 
| 405092 |    405092 |   10260 |    10240 | isolate Vienna                                            | Avipoxvirus         | Poxviridae      | 
| 408592 |    408592 |   10260 |    10240 | PA153/05                                                  | Avipoxvirus         | Poxviridae      | 
| 462818 |    462818 |   10260 |    10240 | isolate Hawaii                                            | Avipoxvirus         | Poxviridae      | 
| 468376 |    468376 |   10260 |    10240 | isolate 1739/2006                                         | Avipoxvirus         | Poxviridae      | 
| 468377 |    468377 |   10260 |    10240 | isolate 2634/1998                                         | Avipoxvirus         | Poxviridae      | 
| 468378 |    468378 |   10260 |    10240 | isolate PM33/2007                                         | Avipoxvirus         | Poxviridae      | 
| 468379 |    468379 |   10260 |    10240 | isolate PM34/2007                                         | Avipoxvirus         | Poxviridae      | 
| 468380 |    468380 |   10260 |    10240 | isolate PM9/2007                                          | Avipoxvirus         | Poxviridae      | 
| 469620 |    469620 |   10260 |    10240 | blackcap/CZE/2007                                         | Avipoxvirus         | Poxviridae      | 
| 503979 |    503979 |   10260 |    10240 | Flamingo poxvirus                                         | Avipoxvirus         | Poxviridae      | 
| 565243 |    565243 |   10260 |    10240 | Berthelot's pipit/Porto Santo/V5PO/2006                   | Avipoxvirus         | Poxviridae      | 
| 565244 |    565244 |   10260 |    10240 | Berthelot's pipit/Tenerife/blue titpox/2006               | Avipoxvirus         | Poxviridae      | 
| 569163 |    569163 |   10260 |    10240 | wood pigeon/ER-2008/CZE                                   | Avipoxvirus         | Poxviridae      | 
|  10266 |     10266 |   10265 |    10240 | Sheeppox virus                                            | Capripoxvirus       | Poxviridae      | 
| 198238 |     10266 |   10265 |    10240 | Sheeppox virus                                            | Capripoxvirus       | Poxviridae      | 
| 376848 |     10266 |   10265 |    10240 | Sheeppox virus                                            | Capripoxvirus       | Poxviridae      | 
| 376853 |     10266 |   10265 |    10240 | Sheeppox virus                                            | Capripoxvirus       | Poxviridae      | 
| 376854 |     10266 |   10265 |    10240 | Sheeppox virus                                            | Capripoxvirus       | Poxviridae      | 
| 453226 |     10266 |   10265 |    10240 | Sheeppox virus                                            | Capripoxvirus       | Poxviridae      | 
| 632804 |     10266 |   10265 |    10240 | Sheeppox virus                                            | Capripoxvirus       | Poxviridae      | 
| 632805 |     10266 |   10265 |    10240 | Sheeppox virus                                            | Capripoxvirus       | Poxviridae      | 
| 632806 |     10266 |   10265 |    10240 | Sheeppox virus                                            | Capripoxvirus       | Poxviridae      | 
| 632807 |     10266 |   10265 |    10240 | Sheeppox virus                                            | Capripoxvirus       | Poxviridae      | 
| 632808 |     10266 |   10265 |    10240 | Sheeppox virus                                            | Capripoxvirus       | Poxviridae      | 
| 632809 |     10266 |   10265 |    10240 | Sheeppox virus                                            | Capripoxvirus       | Poxviridae      | 
| 632810 |     10266 |   10265 |    10240 | Sheeppox virus                                            | Capripoxvirus       | Poxviridae      | 
| 632811 |     10266 |   10265 |    10240 | Sheeppox virus                                            | Capripoxvirus       | Poxviridae      | 
| 632812 |     10266 |   10265 |    10240 | Sheeppox virus                                            | Capripoxvirus       | Poxviridae      | 
| 632813 |     10266 |   10265 |    10240 | Sheeppox virus                                            | Capripoxvirus       | Poxviridae      | 
| 632814 |     10266 |   10265 |    10240 | Sheeppox virus                                            | Capripoxvirus       | Poxviridae      | 
| 632815 |     10266 |   10265 |    10240 | Sheeppox virus                                            | Capripoxvirus       | Poxviridae      | 
| 632816 |     10266 |   10265 |    10240 | Sheeppox virus                                            | Capripoxvirus       | Poxviridae      | 
| 632817 |     10266 |   10265 |    10240 | Sheeppox virus                                            | Capripoxvirus       | Poxviridae      | 
| 632818 |     10266 |   10265 |    10240 | Sheeppox virus                                            | Capripoxvirus       | Poxviridae      | 
| 632819 |     10266 |   10265 |    10240 | Sheeppox virus                                            | Capripoxvirus       | Poxviridae      | 
| 632820 |     10266 |   10265 |    10240 | Sheeppox virus                                            | Capripoxvirus       | Poxviridae      | 
| 632821 |     10266 |   10265 |    10240 | Sheeppox virus                                            | Capripoxvirus       | Poxviridae      | 
| 632822 |     10266 |   10265 |    10240 | Sheeppox virus                                            | Capripoxvirus       | Poxviridae      | 
| 632823 |     10266 |   10265 |    10240 | Sheeppox virus                                            | Capripoxvirus       | Poxviridae      | 
| 632824 |     10266 |   10265 |    10240 | Sheeppox virus                                            | Capripoxvirus       | Poxviridae      | 
| 644154 |     10266 |   10265 |    10240 | Sheeppox virus                                            | Capripoxvirus       | Poxviridae      | 
|  59509 |     59509 |   10265 |    10240 | Lumpy skin disease virus                                  | Capripoxvirus       | Poxviridae      | 
| 376849 |     59509 |   10265 |    10240 | Lumpy skin disease virus                                  | Capripoxvirus       | Poxviridae      | 
| 376850 |     59509 |   10265 |    10240 | Lumpy skin disease virus                                  | Capripoxvirus       | Poxviridae      | 
| 492738 |     59509 |   10265 |    10240 | Lumpy skin disease virus                                  | Capripoxvirus       | Poxviridae      | 
| 632790 |     59509 |   10265 |    10240 | Lumpy skin disease virus                                  | Capripoxvirus       | Poxviridae      | 
| 632791 |     59509 |   10265 |    10240 | Lumpy skin disease virus                                  | Capripoxvirus       | Poxviridae      | 
| 632792 |     59509 |   10265 |    10240 | Lumpy skin disease virus                                  | Capripoxvirus       | Poxviridae      | 
| 632793 |     59509 |   10265 |    10240 | Lumpy skin disease virus                                  | Capripoxvirus       | Poxviridae      | 
| 632794 |     59509 |   10265 |    10240 | Lumpy skin disease virus                                  | Capripoxvirus       | Poxviridae      | 
| 632795 |     59509 |   10265 |    10240 | Lumpy skin disease virus                                  | Capripoxvirus       | Poxviridae      | 
| 632796 |     59509 |   10265 |    10240 | Lumpy skin disease virus                                  | Capripoxvirus       | Poxviridae      | 
| 632797 |     59509 |   10265 |    10240 | Lumpy skin disease virus                                  | Capripoxvirus       | Poxviridae      | 
| 632798 |     59509 |   10265 |    10240 | Lumpy skin disease virus                                  | Capripoxvirus       | Poxviridae      | 
| 632799 |     59509 |   10265 |    10240 | Lumpy skin disease virus                                  | Capripoxvirus       | Poxviridae      | 
| 632800 |     59509 |   10265 |    10240 | Lumpy skin disease virus                                  | Capripoxvirus       | Poxviridae      | 
| 632801 |     59509 |   10265 |    10240 | Lumpy skin disease virus                                  | Capripoxvirus       | Poxviridae      | 
| 632802 |     59509 |   10265 |    10240 | Lumpy skin disease virus                                  | Capripoxvirus       | Poxviridae      | 
| 632803 |     59509 |   10265 |    10240 | Lumpy skin disease virus                                  | Capripoxvirus       | Poxviridae      | 
| 186805 |    186805 |   10265 |    10240 | Goatpox virus                                             | Capripoxvirus       | Poxviridae      | 
| 239356 |    186805 |   10265 |    10240 | Goatpox virus                                             | Capripoxvirus       | Poxviridae      | 
| 239357 |    186805 |   10265 |    10240 | Goatpox virus                                             | Capripoxvirus       | Poxviridae      | 
